targetname,datetime_str,datetime_jd,M1,solar_presence,k1,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat
ATLAS (C/2025 N1),2025-Jul-01 00:00,2460857.5,12.5,,4.5,,271.97745,-18.69705,272.35887,-18.69391,-72.4868,1.454139,,,,,569849.37,-150467.74,60.63,,999,,18.17,,99.97148,,617040.9,*,,,,,,302.19,0.0,,,273.501,3.6727,4.514548234928,-57.7309792,3.50681228703009,-53.4606233,29.16526845,61.2730046,74.0423215,171.4003,/T,1.9305,103.1,32.7636,6.9746,122.308,94.813,-0.97139,Sgr,69.184127,272.2419891,4.7260919,,,11.412002,0.738903,,0.0,0.052,0.033,0.052,0.033,2.486,0.0053971,0.062,1131.3478,0.0001536,2.3,8.36,0.007548,280.7491,,1.9351,272.6927,4.2014
ATLAS (C/2025 N1),2025-Jul-02 00:00,2460858.5,12.5,,4.5,,271.46309,-18.68546,271.84449,-18.68361,-73.6637,1.635953,,,,,565021.481,-150175.07,65.543,,999,,18.137,,99.96218,,612562.9,*,,,,,,297.83,0.0,,,273.3493,3.6813,4.481208306636,-57.7017583,3.47619039215582,-52.5589244,28.91059392,61.2968482,73.6591619,170.1564,/T,2.2237,90.4,42.2997,7.939,117.954,94.903,-0.96254,Sgr,69.1841,271.7532646,4.7435275,,,11.184757,1.170089,,0.0,0.05,0.033,0.05,0.033,2.382,0.0051437,0.06,1119.5914,0.0001532,2.3,8.36,0.007469,280.9008,,2.2285,272.3727,4.2145
ATLAS (C/2025 N1),2025-Jul-03 00:00,2460859.5,12.5,,4.5,,270.94053,-18.67261,271.32189,-18.67206,-74.8313,1.82695,,,,,560191.972,-149853.77,69.44,,999,,18.103,,99.95098,,607889.0,*,,,,,,294.48,0.0,,,273.1953,3.6899,4.447885602921,-57.6716864,3.44609154544836,-51.6498142,28.66026945,61.3210273,73.2728493,168.858,/T,2.5325,78.1,51.929,8.9379,114.613,94.998,-0.95311,Sgr,69.184072,271.2566367,4.7605337,,,10.953465,1.60803,,0.0,0.048,0.032,0.048,0.032,2.272,0.0048963,0.058,1107.8527,0.0001528,2.3,8.37,0.007391,281.0547,,2.5374,272.0475,4.2276
ATLAS (C/2025 N1),2025-Jul-04 00:00,2460860.5,12.5,,4.5,,270.40982,-18.65843,270.79115,-18.6592,-75.9885,2.02714,,,,,555360.177,-149503.76,72.609,,999,,18.07,,99.93778,,603070.8,*,,,,,,291.86,0.0,,,273.039,3.6986,4.414580624178,-57.6407352,3.41651992613645,-50.7336475,28.41432979,61.3455486,72.8834746,167.5197,/T,2.8537,65.8,61.3532,9.9617,111.999,95.096,-0.9431,Sgr,69.184045,270.7521722,4.7770857,,,10.718121,2.05266,,0.0,0.046,0.032,0.046,0.032,2.154,0.0046557,0.056,1096.1321,0.0001524,2.3,8.37,0.007313,281.2109,,2.8587,271.7173,4.2405
ATLAS (C/2025 N1),2025-Jul-05 00:00,2460861.5,12.5,,4.5,,269.87107,-18.64287,270.25235,-18.64498,-77.1339,2.236506,,,,,550525.428,-149124.97,75.244,,999,,18.037,,99.92251,,598141.6,*,,,,,,289.78,0.0,,,272.8803,3.7074,4.381293887382,-57.6088754,3.38747950582956,-49.8107887,28.17280798,61.3704191,72.4911183,166.1504,/T,3.1852,53.7,70.3056,11.0043,109.918,95.198,-0.93251,Sgr,69.184017,270.2399451,4.7931582,,,10.478719,2.503905,,0.0,0.044,0.032,0.044,0.032,2.024,0.0044229,0.055,1084.4298,0.000152,2.31,8.38,0.007235,281.3695,,3.1903,271.3819,4.2533
ATLAS (C/2025 N1),2025-Jul-06 00:00,2460862.5,12.5,,4.5,,269.32436,-18.62586,269.7056,-18.62932,-78.2661,2.455004,,,,,545687.058,-148717.33,77.48,,999,,18.003,,99.90509,,593123.7,*,,,,,,288.1,0.0,,,272.7192,3.7164,4.348025926739,-57.5760766,3.35897404226567,-48.8816137,27.93573526,61.3956458,72.0958532,164.7566,/T,3.5256,41.7,78.5329,12.0614,108.237,95.303,-0.92133,Sgr,69.183989,269.7200369,4.8087258,,,10.235255,2.961684,,0.0,0.043,0.031,0.043,0.031,1.88,0.0041991,0.053,1072.7462,0.0001515,2.31,8.39,0.007157,281.5306,,3.5308,271.0416,4.2659
ATLAS (C/2025 N1),2025-Jul-07 00:00,2460863.5,12.5,,4.5,,268.7698,-18.60734,269.15099,-18.61218,-79.3837,2.68256,,,,,540844.405,-148280.79,79.408,,999,,17.97,,99.88545,,588032.3,*,,,,,,286.72,0.0,,,272.5556,3.7254,4.314777294361,-57.5423069,3.33100707316793,-47.9465078,27.70314108,61.4212361,71.6977447,163.3423,/T,3.8739,29.8,85.7813,13.1303,106.861,95.412,-0.90956,Sgr,69.183962,269.1925369,4.8237628,,,9.987727,3.425907,,0.0,0.041,0.031,0.041,0.031,1.714,0.0039852,0.051,1061.082,0.0001511,2.31,8.4,0.007079,281.6941,,3.879,270.6962,4.2783
ATLAS (C/2025 N1),2025-Jul-08 00:00,2460864.5,12.5,,4.5,,268.2075,-18.58726,268.58865,-18.5935,-80.4852,2.919071,,,,,535996.815,-147815.29,81.098,,999,,17.937,,99.86352,,582878.3,*,,,,,,285.58,0.0,,,272.3894,3.7346,4.281548560976,-57.5075336,3.30358191133282,-47.0058639,27.47505296,61.4471974,71.2968487,161.9106,/T,4.2293,18.4,91.7909,14.2089,105.723,95.525,-0.89719,Sgr,69.183934,268.6575416,4.8382435,,,9.736135,3.896473,,0.0,0.039,0.031,0.039,0.031,1.516,0.0037827,0.05,1049.4377,0.0001506,2.31,8.4,0.007001,281.8601,,4.2344,270.3457,4.2906
ATLAS (C/2025 N1),2025-Jul-09 00:00,2460865.5,12.5,,4.5,,267.63758,-18.56555,268.01868,-18.57321,-81.5692,3.164398,,,,,531143.649,-147320.81,82.598,,999,,17.904,,99.83921,,577669.7,*,,,,,,284.63,0.0,,,272.2207,3.7438,4.248340316668,-57.4717222,3.27670164136078,-46.0600787,27.25149657,61.4735374,70.8932079,160.4638,/T,4.591,10.3,96.2988,15.2957,104.775,95.641,-0.88422,Sgr,69.183906,268.1151556,4.8521418,,,9.480479,4.373274,,0.0,0.038,0.03,0.038,0.03,1.272,0.0035926,0.048,1037.8142,0.0001502,2.31,8.41,0.006924,282.0288,,4.5961,269.9903,4.3027
ATLAS (C/2025 N1),2025-Jul-10 00:00,2460866.5,12.5,,4.5,,267.0602,-18.54216,267.44123,-18.55127,-82.6342,3.418366,,,,,526284.287,-146797.29,83.945,,999,,17.871,,99.81248,,572412.6,*,,,,,,283.83,0.0,,,272.0493,3.7532,4.215153171653,-57.4348373,3.25036911764915,-45.1095522,27.03249565,61.5002638,70.4868466,159.0035,/T,4.9588,14.2,99.0529,16.3899,103.979,95.76,-0.87064,Sgr,69.183878,267.5654917,4.8654317,,,9.220762,4.856192,,0.0,0.036,0.03,0.036,0.03,0.957,0.0034164,0.047,1026.2124,0.0001497,2.32,8.42,0.006846,282.2001,,4.9638,269.6299,4.3146
ATLAS (C/2025 N1),2025-Jul-11 00:00,2460867.5,12.5,,4.5,,266.47548,-18.51703,266.85644,-18.5276,-83.6786,3.680764,,,,,521418.13,-146244.71,85.166,,999,,17.839,,99.78324,,567111.5,*,,,,,,283.16,0.0,,,271.8751,3.7627,4.181987757093,-57.3968417,3.22458696244635,-44.1546887,26.818072,61.5273847,70.0777658,157.531,/T,5.332,25.4,99.8349,17.4904,103.308,95.883,-0.85645,Sgr,69.18385,267.0086716,4.878087,,,8.956988,5.3451,,0.0,0.035,0.03,0.035,0.03,0.535,0.0032554,0.046,1014.6334,0.0001492,2.32,8.43,0.006769,282.3741,,5.337,269.2646,4.3263
ATLAS (C/2025 N1),2025-Jul-12 00:00,2460868.5,12.5,,4.5,,265.88359,-18.4901,266.26445,-18.50217,-84.7008,3.951341,,,,,516544.608,-145663.04,86.283,,999,,17.806,,99.75146,,561770.1,*,,,,,,282.59,0.0,,,271.6982,3.7723,4.14884472594,-57.3576968,3.19935756207099,-43.1959018,26.60824548,61.5549084,69.6659399,156.0472,/T,5.7102,38.1,98.4886,18.5969,102.74,96.009,-0.84165,Sgr,69.183822,266.4448273,4.8900817,,,8.689163,5.839861,,0.0,0.034,0.03,0.034,0.03,-0.047,0.003111,0.045,1003.0786,0.0001488,2.32,8.43,0.006692,282.551,,5.7152,268.8944,4.3378
ATLAS (C/2025 N1),2025-Jul-13 00:00,2460869.5,12.5,,4.5,,265.2847,-18.46133,265.66543,-18.47491,-85.6991,4.229808,,,,,511663.189,-145052.25,87.312,,999,,17.774,,99.71706,,556391.3,*,,,,,,282.11,0.0,,,271.5184,3.782,4.115724753825,-57.3173625,3.17468305904699,-42.2336235,26.40303389,61.5828432,69.2513171,154.5531,/T,6.0933,51.4,94.9488,19.7089,102.258,96.139,-0.82624,Oph,69.183795,265.8741028,4.9013896,,,8.417295,6.340326,,0.0,0.032,0.029,0.032,0.029,-0.859,0.0029846,0.044,991.5493,0.0001483,2.32,8.44,0.006615,282.7306,,6.0982,268.5193,4.3491
ATLAS (C/2025 N1),2025-Jul-14 00:00,2460870.5,12.5,,4.5,,264.67899,-18.43066,265.05956,-18.44577,-86.6717,4.515834,,,,,506773.379,-144412.32,88.268,,999,,17.741,,99.68002,,550977.8,*,,,,,,281.7,0.0,,,271.3357,3.7919,4.082628539985,-57.275797,3.15056533810009,-41.2683165,26.20245293,61.611198,68.8338218,153.0494,/T,6.4807,65.1,89.2646,20.826,101.848,96.271,-0.81021,Oph,69.183767,265.296656,4.9119849,,,8.141395,6.846337,,0.0,0.032,0.029,0.032,0.029,-1.97,0.0028773,0.043,980.047,0.0001478,2.32,8.45,0.006538,282.9132,,6.4856,268.1394,4.3602
ATLAS (C/2025 N1),2025-Jul-15 00:00,2460871.5,12.5,,4.5,,264.06667,-18.39805,264.44705,-18.41469,-87.617,4.80905,,,,,501874.728,-143743.23,89.159,,999,,17.709,,99.64028,,545531.4,*,,,,,,281.35,0.0,,,271.1501,3.8018,4.049556808235,-57.2329568,3.12700600472356,-40.300487,26.00651592,61.6399815,68.4133629,151.5365,/T,6.8721,79.1,81.6109,21.948,101.501,96.406,-0.79357,Oph,69.18374,264.7126599,4.9218419,,,7.861476,7.357725,,0.0,0.031,0.029,0.031,0.029,-3.368,0.0027902,0.042,968.5736,0.0001472,2.33,8.46,0.006462,283.0987,,6.8769,267.7548,4.371
ATLAS (C/2025 N1),2025-Jul-16 00:00,2460872.5,12.5,,4.5,,263.44793,-18.36344,263.82809,-18.38163,-88.5329,5.109052,,,,,496966.835,-143044.98,89.996,,999,,17.677,,99.59782,,540054.3,*,,,,,,281.06,0.0,,,270.9613,3.8119,4.016510307979,-57.1887965,3.10400635613197,-39.3306978,25.81523368,61.6692028,67.9898432,150.0151,/T,7.2673,93.2,72.2899,23.0749,101.206,96.544,-0.7763,Oph,69.183712,264.1223031,4.9309352,,,7.577554,7.874309,,0.0,0.03,0.029,0.03,0.028,-4.845,0.0027238,0.042,957.1309,0.0001467,2.33,8.46,0.006385,283.2873,,7.272,267.3654,4.3815
ATLAS (C/2025 N1),2025-Jul-17 00:00,2460873.5,12.5,,4.5,,262.823,-18.3268,263.20293,-18.34654,-89.4177,5.415401,,,,,492049.349,-142317.6,90.784,,999,,17.645,,99.5526,,534547.9,*,,,,,,280.81,0.0,,,270.7694,3.8221,3.983489815271,-57.143269,3.08156734551058,-38.3595787,25.62861412,61.6988714,67.5631713,148.4855,/T,7.6658,107.5,61.7206,24.2063,100.958,96.685,-0.75843,Oph,69.183685,263.5257892,4.9392402,,,7.289647,8.395897,,0.0,0.03,0.028,0.03,0.028,-5.987,0.0026785,0.041,945.7209,0.0001462,2.33,8.47,0.006309,283.4791,,7.6705,266.9714,4.3918
ATLAS (C/2025 N1),2025-Jul-18 00:00,2460874.5,12.5,,4.5,,262.19211,-18.28809,262.57181,-18.30937,-90.2694,5.727633,,,,,487121.972,-141561.15,91.53,,999,,17.613,,99.50462,,529014.0,*,,,,,,280.6,0.0,,,270.5744,3.8325,3.950496133932,-57.096325,3.05968954123849,-37.3878328,25.44666197,61.7289968,67.1332739,146.9483,/T,8.0674,121.9,50.4219,25.3424,100.75,96.829,-0.73994,Oph,69.183658,262.9233355,4.9467328,,,6.997778,8.922285,,0.0,0.03,0.028,0.03,0.028,-6.473,0.0026541,0.041,934.3461,0.0001456,2.33,8.47,0.006233,283.674,,8.072,266.5729,4.4018
ATLAS (C/2025 N1),2025-Jul-19 00:00,2460875.5,12.5,,4.5,,261.55552,-18.24726,261.93498,-18.27011,-91.0864,6.045255,,,,,482184.456,-140775.71,92.238,,999,,17.582,,99.45385,,523453.9,*,,,,,,280.43,0.0,,,270.376,3.843,3.917530096708,-57.0479132,3.03837308321627,-36.4162405,25.26937839,61.7595888,66.7001086,145.4039,/T,8.4717,136.3,38.9884,26.4829,100.577,96.975,-0.72083,Oph,69.183631,262.3151704,4.9533899,,,6.701974,9.453258,,0.0,0.03,0.028,0.03,0.028,-6.345,0.00265,0.041,923.0087,0.0001451,2.33,8.48,0.006158,283.8722,,8.4762,266.1698,4.4115
ATLAS (C/2025 N1),2025-Jul-20 00:00,2460876.5,12.5,,4.5,,260.91348,-18.20429,261.2927,-18.22871,-91.8667,6.367761,,,,,477236.614,-139961.42,92.912,,999,,17.55,,99.40031,,517869.0,*,,,,,,280.29,0.0,,,270.1742,3.8536,3.884592566494,-56.9979802,3.01761763883229,-35.4456564,25.09676063,61.7906575,66.2636755,143.8525,/T,8.8784,150.5,28.059,27.628,100.434,97.123,-0.70112,Oph,69.183604,261.7015309,4.9591895,,,6.402265,9.98859,,0.0,0.031,0.028,0.031,0.028,-5.884,0.0026651,0.041,911.7114,0.0001445,2.33,8.48,0.006082,284.0738,,8.8828,265.7623,4.4209
ATLAS (C/2025 N1),2025-Jul-21 00:00,2460877.5,12.5,,4.5,,260.26627,-18.15914,260.64526,-18.18514,-92.6089,6.694627,,,,,472278.312,-139118.42,93.557,,999,,17.519,,99.344,,512260.8,*,,,,,,280.17,0.0,,,269.969,3.8643,3.851684437617,-56.9464703,2.99742236174976,-34.4770024,24.92880163,61.8222132,65.8240279,142.2947,/T,9.287,163.7,18.273,28.7775,100.319,97.274,-0.68081,Oph,69.183578,261.0826607,4.9641111,,,6.098682,10.528045,,0.0,0.031,0.028,0.031,0.028,-5.335,0.0026982,0.042,900.4569,0.000144,2.33,8.49,0.006007,284.2788,,9.2914,265.3504,4.43
ATLAS (C/2025 N1),2025-Jul-22 00:00,2460878.5,12.5,,4.5,,259.61417,-18.1118,259.99292,-18.1394,-93.3114,7.025319,,,,,467309.478,-138246.88,94.173,,999,,17.488,,99.28493,,506630.6,*,,,,,,280.08,0.0,,,269.7603,3.8752,3.818806637178,-56.8933252,2.97778585754291,-33.511251,24.7654898,61.8542666,65.3812785,140.7307,/T,9.6973,169.7,10.2136,29.9315,100.228,97.426,-0.6599,Oph,69.183551,260.458809,4.9681355,,,5.791264,11.071377,,0.0,0.032,0.027,0.032,0.027,-4.83,0.0027477,0.042,889.2482,0.0001434,2.34,8.49,0.005932,284.4874,,9.7016,264.9343,4.4388
ATLAS (C/2025 N1),2025-Jul-23 00:00,2460879.5,12.5,,4.5,,258.95747,-18.06223,259.33597,-18.09144,-93.973,7.359291,,,,,462330.097,-137347.0,94.765,,999,,17.457,,99.22315,,500979.6,*,,,,,,280.01,0.0,,,269.5479,3.8862,3.785960126467,-56.8384843,2.95870616068425,-32.5494023,24.6068088,61.8868285,64.9355992,139.161,/T,10.1089,160.3,4.3456,31.0899,100.159,97.581,-0.63841,Oph,69.183525,259.8302308,4.9712453,,,5.48005,11.618334,,0.0,0.033,0.027,0.033,0.027,-4.413,0.0028118,0.043,878.0884,0.0001428,2.34,8.49,0.005858,284.6995,,10.1131,264.514,4.4472
ATLAS (C/2025 N1),2025-Jul-24 00:00,2460880.5,12.5,,4.5,,258.29648,-18.01041,258.6747,-18.04126,-94.5926,7.695982,,,,,457340.208,-136418.97,95.334,,999,,17.427,,99.15869,,495309.4,*,,,,,,279.96,0.0,,,269.3318,3.8973,3.75314590245,-56.7818844,2.94018072661659,-31.592456,24.45273747,61.9199101,64.4872119,137.5859,/T,10.5214,146.9,0.9608,32.2528,100.109,97.738,-0.61633,Oph,69.183499,259.197188,4.9734249,,,5.165083,12.168653,,0.0,0.034,0.027,0.034,0.027,-4.086,0.0028891,0.043,866.9808,0.0001422,2.34,8.49,0.005784,284.9154,,10.5255,264.0895,4.4554
ATLAS (C/2025 N1),2025-Jul-25 00:00,2460881.5,12.5,,4.5,,257.6315,-17.95634,258.00942,-17.98882,-95.1693,8.034811,,,,,452339.901,-135462.99,95.881,,999,,17.396,,99.09159,,489621.0,*,,,,,,279.93,0.0,,,269.1119,3.9086,3.720364999332,-56.7234593,2.92220644017168,-30.6413838,24.30324988,61.9535228,64.0363712,136.0058,/T,10.9344,132.9,0.1489,33.4202,100.076,97.896,-0.59369,Oph,69.183473,258.5599513,4.9746603,,,4.846407,12.72207,,0.0,0.035,0.027,0.035,0.027,-3.838,0.0029778,0.044,855.9289,0.0001416,2.34,8.49,0.00571,285.1351,,10.9384,263.6611,4.4631
ATLAS (C/2025 N1),2025-Jul-26 00:00,2460882.5,12.5,,4.5,,256.96285,-17.9,257.34043,-17.93413,-95.7026,8.375175,,,,,447329.306,-134479.29,96.409,,999,,17.366,,99.02193,,483915.9,*,,,,,,279.91,0.0,,,268.8881,3.92,3.687618490199,-56.6631401,2.90477963802501,-29.6971092,24.15831559,61.9876783,63.5833433,134.4211,/T,11.3475,119.0,1.8044,34.5921,100.059,98.056,-0.57048,Oph,69.183448,257.9188007,4.9749396,,,4.524069,13.278312,,0.0,0.036,0.027,0.036,0.027,-3.655,0.0030766,0.045,844.9361,0.000141,2.33,8.49,0.005637,285.3587,,11.3514,263.2288,4.4706
ATLAS (C/2025 N1),2025-Jul-27 00:00,2460883.5,12.5,,4.5,,256.29084,-17.84139,256.66804,-17.87716,-96.1918,8.716449,,,,,442308.582,-133468.1,96.919,,999,,17.336,,98.94977,,478195.3,*,,,,,,279.91,0.0,,,268.6603,3.9316,3.654907488744,-56.6008548,2.88789613977642,-28.7604982,24.01789982,62.0223887,63.1283855,132.832,/T,11.7603,105.4,5.6672,35.7685,100.056,98.217,-0.54674,Oph,69.183422,257.2740243,4.9742525,,,4.198118,13.837105,,0.0,0.037,0.027,0.037,0.027,-3.524,0.0031841,0.046,834.0063,0.0001404,2.33,8.48,0.005564,285.5863,,11.7641,262.7927,4.4777
ATLAS (C/2025 N1),2025-Jul-28 00:00,2460884.5,12.5,,4.5,,255.61579,-17.78049,255.99259,-17.8179,-96.6366,9.057987,,,,,437277.915,-132429.69,97.411,,999,,17.306,,98.8752,,472460.4,*,,,,,,279.92,0.0,,,268.4283,3.9433,3.622233151084,-56.5365281,2.87155128111488,-27.8323613,23.88196377,62.0576662,62.671733,131.239,/T,12.1725,92.1,11.3813,36.9496,100.065,98.379,-0.52246,Oph,69.183397,256.6259173,4.9725905,,,3.868602,14.398171,,0.0,0.038,0.027,0.038,0.027,-3.434,0.0032993,0.047,823.1433,0.0001398,2.33,8.48,0.005491,285.818,,12.1761,262.3528,4.4844
ATLAS (C/2025 N1),2025-Jul-29 00:00,2460885.5,12.5,,4.5,,254.93802,-17.71732,255.3144,-17.75636,-97.0366,9.399128,,,,,432237.512,-131364.33,97.887,,999,,17.276,,98.79831,,466712.5,*,,,,,,279.94,0.0,,,268.1922,3.9551,3.589596677656,-56.4700814,2.85573994370409,-26.9134617,23.75046489,62.0935236,62.2135924,129.6424,/T,12.5835,79.0,18.5533,38.1354,100.085,98.543,-0.49767,Oph,69.183371,255.9747791,4.9699467,,,3.535571,14.961231,,0.0,0.04,0.027,0.04,0.027,-3.375,0.0034213,0.048,812.351,0.0001392,2.33,8.47,0.005419,286.0539,,12.587,261.9093,4.4908
ATLAS (C/2025 N1),2025-Jul-30 00:00,2460886.5,12.5,,4.5,,254.25787,-17.65188,254.63381,-17.69255,-97.3917,9.739202,,,,,427187.6,-130272.34,98.348,,999,,17.247,,98.7192,,460952.8,*,,,,,,279.97,0.0,,,267.9516,3.9671,3.556999315224,-56.4014327,2.84045657899097,-26.0045275,23.62335702,62.1299737,61.7541431,128.0424,/T,12.9931,66.3,26.7972,39.3259,100.115,98.707,-0.47238,Oph,69.183346,255.3209114,4.9663159,,,3.199077,15.526001,,0.0,0.041,0.028,0.041,0.027,-3.342,0.0035491,0.049,801.6337,0.0001385,2.33,8.46,0.005348,286.2942,,12.9965,261.4623,4.4968
ATLAS (C/2025 N1),2025-Jul-31 00:00,2460887.5,12.5,,4.5,,253.57565,-17.58417,253.95114,-17.62647,-97.7017,10.07754,,,,,422128.424,-129154.06,98.794,,999,,17.218,,98.63799,,455182.4,*,,,,,,280.01,0.0,,,267.7067,3.9793,3.524442358969,-56.3304959,2.82569522574349,-25.1062607,23.50059059,62.1670298,61.2935422,126.4396,/T,13.4007,53.8,35.7584,40.5213,100.155,98.873,-0.4466,Oph,69.183321,254.6646168,4.9616945,,,2.859173,16.092199,,0.0,0.042,0.028,0.042,0.028,-3.328,0.0036821,0.051,790.9954,0.0001379,2.32,8.45,0.005277,286.5389,,13.404,261.0118,4.5025
ATLAS (C/2025 N1),2025-Aug-01 00:00,2460888.5,12.5,,4.5,,252.89168,-17.51423,253.26672,-17.55814,-97.9664,10.41346,,,,,417060.252,-128009.83,99.226,,999,,17.188,,98.55481,,449402.5,*,,,,,,280.06,0.0,,,267.4571,3.9916,3.491927154697,-56.2571815,2.8114495228777,-24.2193443,23.38211269,62.2047055,60.8319308,124.834,/T,13.806,41.6,45.1201,41.7217,100.203,99.039,-0.42036,Oph,69.183296,254.0061977,4.9560806,,,2.51591,16.659542,,0.0,0.044,0.028,0.044,0.028,-3.33,0.0038196,0.052,780.4404,0.0001373,2.32,8.44,0.005207,286.7881,,13.8091,260.558,4.5077
ATLAS (C/2025 N1),2025-Aug-02 00:00,2460889.5,12.5,,4.5,,252.2063,-17.44205,252.58088,-17.48757,-98.1861,10.74632,,,,,411983.373,-126840.03,99.645,,999,,17.16,,98.4698,,443614.2,*,,,,,,280.12,0.0,,,267.2029,4.0041,3.459455101157,-56.1813954,2.79771271984522,-23.3444439,23.26786718,62.2430148,60.3694402,123.2262,/T,14.2085,29.7,54.596,42.9272,100.258,99.206,-0.39366,Oph,69.183271,253.3459553,4.9494737,,,2.169343,17.227744,,0.0,0.045,0.028,0.045,0.028,-3.344,0.0039611,0.053,769.9732,0.0001366,2.32,8.42,0.005137,287.042,,14.2115,260.1008,4.5126
ATLAS (C/2025 N1),2025-Aug-03 00:00,2460890.5,12.5,,4.5,,251.51982,-17.36767,251.89394,-17.4148,-98.3607,11.07546,,,,,406898.094,-125645.06,100.052,,999,,17.131,,98.3831,,437818.8,*,,,,,,280.18,0.0,,,266.9439,4.0167,3.427027652472,-56.1030396,2.78447768678782,-22.4822065,23.15779477,62.2819719,59.9061955,121.6163,/T,14.6078,18.4,63.915,44.1378,100.32,99.373,-0.36653,Oph,69.183247,252.684189,4.9418752,,,1.819527,17.796521,,0.0,0.046,0.028,0.046,0.028,-3.367,0.0041062,0.054,759.5981,0.000136,2.31,8.41,0.005067,287.3008,,14.6107,259.6405,4.5172
ATLAS (C/2025 N1),2025-Aug-04 00:00,2460891.5,12.5,,4.5,,250.83256,-17.29112,251.20623,-17.33986,-98.4906,11.40024,,,,,401804.745,-124425.31,100.446,,999,,17.102,,98.29486,,432017.1,*,,,,,,280.25,0.0,,,266.6798,4.0294,3.394646320703,-56.0220113,2.77173692616683,-21.6332574,23.05183309,62.3215913,59.4423166,120.0048,/T,15.0036,10.5,72.8038,45.3538,100.387,99.54,-0.33898,Oph,69.183222,252.0211959,4.9332878,,,1.466516,18.365591,,0.0,0.047,0.029,0.047,0.029,-3.398,0.0042542,0.055,749.3196,0.0001353,2.31,8.39,0.004999,287.5645,,15.0063,259.1771,4.5213
ATLAS (C/2025 N1),2025-Aug-05 00:00,2460892.5,12.5,,4.5,,250.14486,-17.21243,250.51806,-17.26277,-98.5761,11.72007,,,,,396703.671,-123181.21,100.829,,999,,17.074,,98.20527,,426210.5,*,,,,,,280.32,0.0,,,266.4107,4.0424,3.362312678541,-55.938203,2.75948258687204,-20.7981948,22.94991686,62.3618882,58.977917,118.3918,/T,15.3952,14.1,80.9711,46.5753,100.46,99.708,-0.31103,Oph,69.183198,251.3572697,4.923716,,,1.110369,18.934673,,0.0,0.049,0.029,0.049,0.029,-3.434,0.0044049,0.057,739.1421,0.0001347,2.3,8.37,0.004931,287.8332,,15.3979,258.7107,4.5251
ATLAS (C/2025 N1),2025-Aug-06 00:00,2460893.5,12.5,,4.5,,249.45701,-17.13163,249.82974,-17.18357,-98.6177,12.03432,,,,,391595.234,-121913.2,101.2,,999,,17.046,,98.11448,,420399.9,*,,,,,,280.4,0.0,,,266.1364,4.0555,3.330028362146,-55.8515021,2.7477064809816,-19.977586,22.85197798,62.4028778,58.5130991,116.7777,/T,15.7824,25.0,88.0987,47.8023,100.538,99.875,-0.28271,Oph,69.183174,250.6927004,4.9131655,,,0.751141,19.503487,,0.0,0.05,0.029,0.05,0.029,-3.475,0.0045576,0.058,729.0702,0.0001341,2.3,8.35,0.004864,288.1072,,15.7849,258.2413,4.5284
ATLAS (C/2025 N1),2025-Aug-07 00:00,2460894.5,12.5,,4.5,,248.76933,-17.04876,249.14158,-17.1023,-98.6158,12.34243,,,,,386479.811,-120621.7,101.561,,999,,17.018,,98.0227,,414586.3,*,,,,,,280.48,0.0,,,265.8567,4.0687,3.297795074122,-55.7617909,2.7364001023778,-19.1719654,22.75794569,62.4445757,58.0479482,115.1629,/T,16.1647,37.5,93.8432,49.0351,100.619,100.043,-0.25403,Oph,69.18315,250.0277739,4.9016437,,,0.388889,20.071757,,0.0,0.051,0.03,0.051,0.029,-3.518,0.004712,0.059,719.1084,0.0001334,2.29,8.33,0.004797,288.3865,,16.167,257.769,4.5314
ATLAS (C/2025 N1),2025-Aug-08 00:00,2460895.5,12.5,,4.5,,248.08213,-16.96387,248.45388,-17.019,-98.5711,12.64383,,,,,381357.792,-119307.16,101.91,,999,,16.99,,97.93011,,408770.7,*,,,,,,280.57,0.0,,,265.5715,4.0821,3.265614586663,-55.6689459,2.72555464535589,-18.3818366,22.66774678,62.486998,57.5825254,113.5474,/T,16.5416,50.6,97.8527,50.2738,100.705,100.21,-0.225,Oph,69.183126,249.362772,4.8891592,,,0.023671,20.63921,,0.0,0.052,0.03,0.052,0.03,-3.563,0.0048675,0.06,709.2612,0.0001328,2.28,8.3,0.004732,288.6713,,16.5438,257.2939,4.5341
