datetime_str,RA,DEC,delta,r,elong,alpha,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma
2026-Jan-12 00:00,133.82374,15.23151,2.07022134175973,3.010648568644,159.3526,6.6109,0.096,0.067,0.098,0.065,-12.364,0.0199435,0.117
2026-Jan-17 00:00,128.8262,16.36361,2.19783199966909,3.169724718424,169.2545,3.3142,0.091,0.068,0.093,0.067,-13.7,0.0194407,0.114
2026-Jan-22 00:00,124.34055,17.27792,2.3468132469956,3.330315587331,177.4292,0.7587,0.086,0.07,0.088,0.068,-15.616,0.0188672,0.111
2026-Jan-27 00:00,120.38555,18.00208,2.51486586815561,3.492180180347,171.7386,2.3246,0.083,0.071,0.084,0.07,-16.754,0.0185876,0.11
2026-Feb-01 00:00,116.94766,18.56832,2.69961745470654,3.65512153082,163.5267,4.3862,0.083,0.072,0.084,0.072,-14.002,0.0188864,0.11
2026-Feb-06 00:00,113.99224,19.00812,2.89882311420429,3.818977728905,155.683,6.1053,0.086,0.073,0.086,0.073,-6.959,0.0198586,0.113
2026-Feb-11 00:00,111.4748,19.34894,3.11047278452778,3.983614987145,148.2478,7.4931,0.092,0.074,0.092,0.074,-0.692,0.0214154,0.118
2026-Feb-16 00:00,109.34844,19.61322,3.33276238110921,4.148922299896,141.1891,8.5843,0.1,0.075,0.1,0.075,2.823,0.0233805,0.125
2026-Feb-21 00:00,107.56746,19.81856,3.56405079071965,4.314807355414,134.4674,9.4155,0.108,0.075,0.109,0.075,4.621,0.0255817,0.132
2026-Feb-26 00:00,106.08893,19.97856,3.8028298163413,4.481193502298,128.0446,10.0214,0.118,0.076,0.118,0.075,5.572,0.0278907,0.14
2026-Mar-03 00:00,104.87331,20.10365,4.0477433040322,4.648017698027,121.8842,10.4341,0.127,0.076,0.128,0.075,6.094,0.0302252,0.148
2026-Mar-08 00:00,103.88542,20.20178,4.29761948316902,4.815229397576,115.9514,10.6821,0.137,0.076,0.138,0.075,6.379,0.0325367,0.157
2026-Mar-13 00:00,103.09516,20.27891,4.55142564942384,4.982788979584,110.2165,10.7892,0.146,0.077,0.147,0.075,6.52,0.0347994,0.165
2026-Mar-18 00:00,102.47687,20.33946,4.80819609192296,5.150657777389,104.6553,10.776,0.156,0.077,0.156,0.075,6.57,0.0370059,0.174
2026-Mar-23 00:00,102.00824,20.38656,5.06698798265334,5.318782488725,99.2483,10.6598,0.165,0.077,0.165,0.075,6.559,0.0391633,0.182
2026-Mar-28 00:00,101.66922,20.42239,5.32690566608676,5.487113693466,93.9787,10.4562,0.173,0.077,0.174,0.075,6.499,0.041279,0.19
2026-Apr-02 00:00,101.44196,20.44867,5.58716624122419,5.655620944139,88.83,10.1788,0.182,0.078,0.183,0.075,6.394,0.0433597,0.198
2026-Apr-07 00:00,101.31132,20.46675,5.84708789859221,5.824282925022,83.7864,9.8393,0.19,0.078,0.191,0.076,6.253,0.0454142,0.206
2026-Apr-12 00:00,101.26451,20.47764,6.10603316240769,5.993081659447,78.8344,9.4472,0.199,0.078,0.2,0.076,6.083,0.047452,0.213
2026-Apr-17 00:00,101.29054,20.48207,6.36337728068295,6.162001206652,73.9632,9.0106,0.207,0.078,0.208,0.076,5.889,0.0494834,0.221
2026-Apr-22 00:00,101.37956,20.48057,6.61849811340339,6.33102735351,69.1649,8.537,0.215,0.079,0.216,0.076,5.675,0.0515189,0.229
2026-Apr-27 00:00,101.52243,20.47364,6.87081712549194,6.500147440641,64.4326,8.0331,0.223,0.079,0.223,0.076,5.446,0.0535679,0.236
2026-May-02 00:00,101.71103,20.46176,7.11984391010564,6.669350200723,59.758,7.505,0.23,0.079,0.231,0.077,5.205,0.0556384,0.244
2026-May-07 00:00,101.93846,20.44529,7.36513945123384,6.838625616033,55.1327,6.9578,0.238,0.079,0.239,0.077,4.955,0.0577378,0.251
2026-May-12 00:00,102.19876,20.42451,7.60627772428293,7.007964784656,50.5494,6.3959,0.246,0.08,0.246,0.077,4.698,0.0598733,0.258
2026-May-17 00:00,102.48658,20.39966,7.84283069212473,7.177359794683,46.0023,5.823,0.253,0.08,0.254,0.078,4.437,0.0620521,0.266
2026-May-22 00:00,102.79676,20.37097,8.07437841144786,7.34680360878,41.4879,5.243,0.261,0.08,0.262,0.078,4.172,0.0642814,0.273
2026-May-27 00:00,103.12436,20.33875,8.30057202947498,7.51628995306,37.0032,4.6596,0.269,0.081,0.269,0.079,3.907,0.0665668,0.28
2026-Jun-01 00:00,103.46507,20.30331,8.52113552816464,7.685813227771,32.5433,4.0761,0.276,0.081,0.277,0.079,3.643,0.0689133,0.288
2026-Jun-06 00:00,103.81518,20.26492,8.73581781824468,7.855368435383,28.1038,3.4954,0.284,0.082,0.284,0.08,3.381,0.0713258,0.295
2026-Jun-11 00:00,104.17137,20.2238,8.94437080242162,8.024951113352,23.6814,2.9199,0.291,0.082,0.292,0.081,3.122,0.0738092,0.303
2026-Jun-16 00:00,104.53044,20.18021,9.14654500363224,8.194557273447,19.2764,2.3526,0.299,0.083,0.299,0.081,2.867,0.0763688,0.31
2026-Jun-21 00:00,104.88908,20.13445,9.34212750212353,8.364183341072,14.896,1.797,0.306,0.083,0.307,0.082,2.618,0.0790094,0.317
2026-Jun-26 00:00,105.24417,20.08687,9.53099338900549,8.53382609863,10.5625,1.2583,0.314,0.084,0.314,0.083,2.376,0.0817341,0.325
2026-Jul-01 00:00,105.59303,20.03781,9.71306662559192,8.703482652269,6.3642,0.7487,0.322,0.084,0.322,0.084,2.141,0.0845461,0.333
